,date,type,year,avg_price,size,nb_sold
47,01-02-2015,conventional,2015,0.96,large,636771.37
48,25-01-2015,conventional,2015,1.1,small,449332.85
49,18-01-2015,conventional,2015,1.11,large,431490.99
50,11-01-2015,conventional,2015,1.11,small,397542.72
51,04-01-2015,conventional,2015,1,medium,435021.49
0,27-12-2015,conventional,2015,1.17,small,596819.4
1,20-12-2015,conventional,2015,1.11,large,642682.4
2,13-12-2015,conventional,2015,1.15,small,619509.33
3,06-12-2015,conventional,2015,1.04,small,649141.25
4,29-11-2015,conventional,2015,1.16,medium,545800.05
5,22-11-2015,conventional,2015,1.12,extra_large,572019.8
6,15-11-2015,conventional,2015,1.04,small,718330.48
7,08-11-2015,conventional,2015,1.05,small,830967.23
8,01-11-2015,conventional,2015,1.12,medium,742220.67
9,25-10-2015,conventional,2015,1.19,small,656892.03
10,18-10-2015,conventional,2015,0.99,medium,1005603.78
11,11-10-2015,conventional,2015,1.24,medium,653560.14
12,04-10-2015,conventional,2015,1.28,large,657444.04
13,27-09-2015,conventional,2015,1.19,large,696281.81
14,20-09-2015,conventional,2015,1.17,large,709268.62
15,13-09-2015,conventional,2015,1.09,medium,924993.61
16,06-09-2015,conventional,2015,1.18,extra_large,823623.36
17,30-08-2015,conventional,2015,1.24,extra_large,734721.29
18,23-08-2015,conventional,2015,1.16,small,783935.36
19,16-08-2015,conventional,2015,1.14,large,882754.72
20,09-08-2015,conventional,2015,1.16,large,821523.45
21,02-08-2015,conventional,2015,1.17,small,800603.23
22,26-07-2015,conventional,2015,1.2,small,772926.12
23,19-07-2015,conventional,2015,1.18,medium,800194.34
24,12-07-2015,conventional,2015,1.1,extra_large,850931.58
25,05-07-2015,conventional,2015,1.16,medium,896298.77
26,28-06-2015,conventional,2015,1.15,large,862261.64
27,21-06-2015,conventional,2015,1.16,extra_large,862840.73
28,14-06-2015,conventional,2015,1.09,large,955046.82
29,07-06-2015,conventional,2015,1.26,extra_large,794310.29
30,31-05-2015,conventional,2015,1.19,extra_large,949177.06
31,24-05-2015,conventional,2015,1.18,medium,908661.83
32,17-05-2015,conventional,2015,1.27,extra_large,790853.86
33,10-05-2015,conventional,2015,1.26,medium,855205.82
34,03-05-2015,conventional,2015,1.17,extra_large,896972.05
35,26-04-2015,conventional,2015,1.29,small,747841.09
36,19-04-2015,conventional,2015,1.28,medium,762862.62
37,12-04-2015,conventional,2015,1.15,small,837629.62
38,05-04-2015,conventional,2015,1.29,extra_large,688065.45
39,29-03-2015,conventional,2015,1.25,small,663677.32
40,22-03-2015,conventional,2015,1.1,small,808897.21
41,15-03-2015,conventional,2015,1.24,extra_large,693698.13
42,08-03-2015,conventional,2015,1.26,small,657745.9
43,01-03-2015,conventional,2015,1.16,small,770115.24
44,22-02-2015,conventional,2015,1.11,small,749845.79
45,15-02-2015,conventional,2015,1.25,small,637319.34
46,08-02-2015,conventional,2015,1.09,extra_large,844931.21
47,01-02-2015,conventional,2015,1.06,large,1007418.76
48,25-01-2015,conventional,2015,1.2,extra_large,692934.46
49,18-01-2015,conventional,2015,1.23,extra_large,657741.34
50,11-01-2015,conventional,2015,1.17,medium,670231.94
51,04-01-2015,conventional,2015,1.08,extra_large,788025.06
0,27-12-2015,conventional,2015,0.97,medium,62909.69
1,20-12-2015,conventional,2015,1.03,large,57504.05
2,13-12-2015,conventional,2015,0.99,extra_large,58461.05
3,06-12-2015,conventional,2015,0.71,large,95295.34
4,29-11-2015,conventional,2015,1.06,large,49069.13
5,22-11-2015,conventional,2015,1.09,extra_large,52875.58
6,15-11-2015,conventional,2015,1.01,medium,68648.22
7,08-11-2015,conventional,2015,1.11,medium,55847.79
8,01-11-2015,conventional,2015,1.14,extra_large,53585.51
9,25-10-2015,conventional,2015,1.11,extra_large,59874.45
10,18-10-2015,conventional,2015,1.16,small,54191.14
11,11-10-2015,conventional,2015,0.94,medium,80904.19
12,04-10-2015,conventional,2015,1.12,extra_large,59496.33
13,27-09-2015,conventional,2015,0.99,extra_large,64187.8
14,20-09-2015,conventional,2015,1.03,medium,73952.9
15,13-09-2015,conventional,2015,1.08,large,64208.84
16,06-09-2015,conventional,2015,1.16,medium,64464.61
17,30-08-2015,conventional,2015,1.19,large,60099.83
18,23-08-2015,conventional,2015,1.05,small,70773.76
19,16-08-2015,conventional,2015,1.12,extra_large,64001.61
20,09-08-2015,conventional,2015,1.1,small,61286.98
21,02-08-2015,conventional,2015,1.07,medium,67763.91
22,26-07-2015,conventional,2015,1.07,medium,67826.07
23,19-07-2015,conventional,2015,1.09,extra_large,63958.04
24,12-07-2015,conventional,2015,1.05,medium,74677.72
25,05-07-2015,conventional,2015,1.15,small,85044.45
26,28-06-2015,conventional,2015,1.04,medium,75280.41
27,21-06-2015,conventional,2015,1.06,medium,81397.07
28,14-06-2015,conventional,2015,0.99,extra_large,87607.71
29,07-06-2015,conventional,2015,1.12,medium,80751.29
30,31-05-2015,conventional,2015,0.97,large,76689.38
31,24-05-2015,conventional,2015,1.03,large,83209.77
32,17-05-2015,conventional,2015,0.96,small,77987.53
33,10-05-2015,conventional,2015,1.06,extra_large,95788.53
34,03-05-2015,conventional,2015,1,extra_large,85466.99
35,26-04-2015,conventional,2015,0.96,small,88111.17
36,19-04-2015,conventional,2015,0.99,small,89694.96
37,12-04-2015,conventional,2015,1.19,extra_large,66246.3
38,05-04-2015,conventional,2015,1.09,medium,76704.46
39,29-03-2015,conventional,2015,0.98,extra_large,74543.98
40,22-03-2015,conventional,2015,1.17,large,61419.11
41,15-03-2015,conventional,2015,1,small,65918.28
42,08-03-2015,conventional,2015,1.14,large,65350.24
43,01-03-2015,conventional,2015,1.06,medium,75046.37
44,22-02-2015,conventional,2015,0.99,small,76836.1
45,15-02-2015,conventional,2015,1.14,extra_large,61221.98
46,08-02-2015,conventional,2015,1.07,extra_large,69970.75
47,01-02-2015,conventional,2015,0.91,large,113578.24
48,25-01-2015,conventional,2015,1.03,large,66069.21
49,18-01-2015,conventional,2015,1.08,medium,62870.49
50,11-01-2015,conventional,2015,1.18,extra_large,57355.52
51,04-01-2015,conventional,2015,1.01,medium,80034.32
0,27-12-2015,conventional,2015,1.13,large,450816.39
1,20-12-2015,conventional,2015,1.07,large,489802.88
2,13-12-2015,conventional,2015,1.01,large,549945.76
3,06-12-2015,conventional,2015,1.02,extra_large,488679.31
4,29-11-2015,conventional,2015,1.19,small,350559.81
5,22-11-2015,conventional,2015,1.07,medium,466759.99
6,15-11-2015,conventional,2015,1.05,small,513738.98
7,08-11-2015,conventional,2015,1.04,small,641759.57
8,01-11-2015,conventional,2015,1.06,large,553096.84
9,25-10-2015,conventional,2015,1.02,large,534249.47
10,18-10-2015,conventional,2015,0.94,small,725296.29
11,11-10-2015,conventional,2015,1.14,large,485706.68
12,04-10-2015,conventional,2015,1.07,extra_large,536479.42
13,27-09-2015,conventional,2015,1.07,medium,553307.04
14,20-09-2015,conventional,2015,1.15,large,498640.23
15,13-09-2015,conventional,2015,1.03,small,655682.95
16,06-09-2015,conventional,2015,1.11,large,577774.74
17,30-08-2015,conventional,2015,1.13,medium,526664.87
18,23-08-2015,conventional,2015,1.07,small,589471.32
19,16-08-2015,conventional,2015,1.15,large,565795.06
20,09-08-2015,conventional,2015,1.07,medium,690517.19
21,02-08-2015,conventional,2015,1.17,extra_large,571994.5
22,26-07-2015,conventional,2015,1.28,large,500233.69
23,19-07-2015,conventional,2015,1.18,extra_large,597168.12
24,12-07-2015,conventional,2015,1.14,medium,634515.74
25,05-07-2015,conventional,2015,1.27,large,582909.73
26,28-06-2015,conventional,2015,1.25,medium,560494.92
27,21-06-2015,conventional,2015,1.24,small,543504.66
28,14-06-2015,conventional,2015,1.08,large,684346.48
29,07-06-2015,conventional,2015,1.25,small,562542.86
30,31-05-2015,conventional,2015,1.26,extra_large,565160.95
31,24-05-2015,conventional,2015,1.14,extra_large,633521.98
32,17-05-2015,conventional,2015,1.26,large,534488.54
33,10-05-2015,conventional,2015,1.14,large,625558.14
34,03-05-2015,conventional,2015,1.17,extra_large,552368.94
35,26-04-2015,conventional,2015,1.28,small,465911.37
36,19-04-2015,conventional,2015,1.15,extra_large,504619.83
37,12-04-2015,conventional,2015,1.26,large,408485.16
38,05-04-2015,conventional,2015,1.27,large,449818.01
39,29-03-2015,conventional,2015,1.19,extra_large,453631.25
40,22-03-2015,conventional,2015,1.18,medium,453173.22
41,15-03-2015,conventional,2015,1.25,large,417750.36
42,08-03-2015,conventional,2015,1.17,medium,408403.96
43,01-03-2015,conventional,2015,1.11,medium,485736.1
44,22-02-2015,conventional,2015,1.23,medium,355432.28
45,15-02-2015,conventional,2015,1.2,medium,399883.99
46,08-02-2015,conventional,2015,1.04,medium,609985.34
47,01-02-2015,conventional,2015,1.22,extra_large,490022.14
48,25-01-2015,conventional,2015,1.17,extra_large,409343.56
49,18-01-2015,conventional,2015,1.23,medium,401331.33
50,11-01-2015,conventional,2015,1.1,medium,437771.89
51,04-01-2015,conventional,2015,1.02,small,491738
0,27-12-2015,conventional,2015,1.35,medium,96233.08
1,20-12-2015,conventional,2015,1.37,extra_large,90867.51
2,13-12-2015,conventional,2015,1.35,small,98473.23
3,06-12-2015,conventional,2015,1.23,medium,108457.82
4,29-11-2015,conventional,2015,1.39,extra_large,79973.14
5,22-11-2015,conventional,2015,1.4,medium,90242.31
6,15-11-2015,conventional,2015,1.36,small,99703.72
7,08-11-2015,conventional,2015,1.3,small,111038.95
8,01-11-2015,conventional,2015,1.23,small,118541.11
9,25-10-2015,conventional,2015,1.36,extra_large,99554.55
10,18-10-2015,conventional,2015,1.29,medium,106083.75
11,11-10-2015,conventional,2015,1.3,small,109153.84
12,04-10-2015,conventional,2015,1.33,extra_large,98900.48
13,27-09-2015,conventional,2015,1.31,extra_large,90745.72
14,20-09-2015,conventional,2015,1.54,medium,60624.47
15,13-09-2015,conventional,2015,1.59,small,73043.2
16,06-09-2015,conventional,2015,1.56,large,76139.58
17,30-08-2015,conventional,2015,1.38,large,83731.42
18,23-08-2015,conventional,2015,1.49,small,68953.29
19,16-08-2015,conventional,2015,1.5,small,69798.09
20,09-08-2015,conventional,2015,1.47,small,81830.13
21,02-08-2015,conventional,2015,1.47,large,78162.92
22,26-07-2015,conventional,2015,1.39,extra_large,91825.07
23,19-07-2015,conventional,2015,1.36,extra_large,128846.15
24,12-07-2015,conventional,2015,1.45,medium,127351.46
25,05-07-2015,conventional,2015,1.47,medium,140413.9
26,28-06-2015,conventional,2015,1.36,extra_large,137246.7
27,21-06-2015,conventional,2015,1.5,small,108655.36
28,14-06-2015,conventional,2015,1.34,large,149376.79
29,07-06-2015,conventional,2015,1.38,extra_large,130908.11
30,31-05-2015,conventional,2015,1.4,extra_large,130841.08
31,24-05-2015,conventional,2015,1.43,small,121942.61
32,17-05-2015,conventional,2015,1.35,extra_large,137050.23
33,10-05-2015,conventional,2015,1.33,extra_large,170547.18
34,03-05-2015,conventional,2015,1.42,medium,136771.79
35,26-04-2015,conventional,2015,1.41,large,136964.3
36,19-04-2015,conventional,2015,1.42,extra_large,139612.52
37,12-04-2015,conventional,2015,1.42,large,118172.53
38,05-04-2015,conventional,2015,1.44,medium,124145.62
39,29-03-2015,conventional,2015,1.39,medium,119890.65
40,22-03-2015,conventional,2015,1.4,medium,119902.96
41,15-03-2015,conventional,2015,1.47,small,103413.11
42,08-03-2015,conventional,2015,1.35,extra_large,125724.96
43,01-03-2015,conventional,2015,1.43,small,112363.86
44,22-02-2015,conventional,2015,1.41,small,109546.92
45,15-02-2015,conventional,2015,1.44,extra_large,100207.14
46,08-02-2015,conventional,2015,1.36,extra_large,132760.1
47,01-02-2015,conventional,2015,1.33,small,153920.35
48,25-01-2015,conventional,2015,1.5,medium,114052.94
49,18-01-2015,conventional,2015,1.52,small,107040.29
50,11-01-2015,conventional,2015,1.54,large,106221.32
51,04-01-2015,conventional,2015,1.4,extra_large,116253.44
0,27-12-2015,conventional,2015,0.9,extra_large,5040365.47
1,20-12-2015,conventional,2015,0.94,extra_large,4695737.21
2,13-12-2015,conventional,2015,0.87,large,5259354.3
3,06-12-2015,conventional,2015,0.78,large,5775536.27
4,29-11-2015,conventional,2015,0.91,large,4575710.62
5,22-11-2015,conventional,2015,0.92,medium,4804278.16
6,15-11-2015,conventional,2015,0.83,large,5755190.69
7,08-11-2015,conventional,2015,0.98,small,5148983.51
8,01-11-2015,conventional,2015,0.95,extra_large,5830427.96
9,25-10-2015,conventional,2015,1.12,extra_large,4592461.81
10,18-10-2015,conventional,2015,1.07,small,4999031.79
11,11-10-2015,conventional,2015,1.08,extra_large,5063309.38
12,04-10-2015,conventional,2015,1.02,medium,4943781.29
13,27-09-2015,conventional,2015,1.04,medium,5216784.63
14,20-09-2015,conventional,2015,1.14,small,4759791.13
15,13-09-2015,conventional,2015,1.13,large,5106508.12
16,06-09-2015,conventional,2015,1.09,large,5806392.78
17,30-08-2015,conventional,2015,1.08,medium,5647385.15
18,23-08-2015,conventional,2015,1.18,extra_large,5193221
19,16-08-2015,conventional,2015,1.11,large,5616434.08
20,09-08-2015,conventional,2015,1.1,extra_large,6232081.27
21,02-08-2015,conventional,2015,1.16,medium,5428238.87
22,26-07-2015,conventional,2015,1.13,extra_large,5557616.27
23,19-07-2015,conventional,2015,1.18,extra_large,5225200.52
24,12-07-2015,conventional,2015,1.13,extra_large,5451636.92
25,05-07-2015,conventional,2015,1.12,small,6718011.83
26,28-06-2015,conventional,2015,1.1,medium,5641742.02
27,21-06-2015,conventional,2015,1.07,medium,5952597.29
28,14-06-2015,conventional,2015,0.97,large,6741662.31
29,07-06-2015,conventional,2015,0.98,small,6374842.9
30,31-05-2015,conventional,2015,0.98,extra_large,6236903.31
31,24-05-2015,conventional,2015,1.1,small,5621713.64
32,17-05-2015,conventional,2015,1.08,extra_large,5289138.5
33,10-05-2015,conventional,2015,0.93,large,6650357.96
34,03-05-2015,conventional,2015,0.88,extra_large,8567534.49
35,26-04-2015,conventional,2015,1.15,extra_large,4923565.04
36,19-04-2015,conventional,2015,1.05,medium,5871080.81
37,12-04-2015,conventional,2015,1.06,extra_large,5636644.51
38,05-04-2015,conventional,2015,1.12,large,5467155.55
39,29-03-2015,conventional,2015,1.1,medium,5341821.67
40,22-03-2015,conventional,2015,1.06,extra_large,5571812.77
41,15-03-2015,conventional,2015,1.06,large,5557163.11
42,08-03-2015,conventional,2015,0.96,small,5990243.89
43,01-03-2015,conventional,2015,0.84,extra_large,6700134.25
44,22-02-2015,conventional,2015,0.96,medium,5951871.32
45,15-02-2015,conventional,2015,0.96,small,5699944.93
46,08-02-2015,conventional,2015,0.91,large,5871224.58
47,01-02-2015,conventional,2015,0.85,small,9032180.67
48,25-01-2015,conventional,2015,1.06,large,4929884.26
49,18-01-2015,conventional,2015,1.02,medium,5570915.26
50,11-01-2015,conventional,2015,0.92,small,6024932.34
51,04-01-2015,conventional,2015,0.93,medium,5777334.9
0,27-12-2015,conventional,2015,0.96,small,156698.24
1,20-12-2015,conventional,2015,0.98,large,139917.89
2,13-12-2015,conventional,2015,0.95,medium,157146.19
3,06-12-2015,conventional,2015,0.99,medium,156114.08
4,29-11-2015,conventional,2015,0.95,medium,138858.86
5,22-11-2015,conventional,2015,1,extra_large,133618.33
6,15-11-2015,conventional,2015,1.01,medium,169281.16
7,08-11-2015,conventional,2015,1.03,medium,164322.04
8,01-11-2015,conventional,2015,1.11,large,171793.87
9,25-10-2015,conventional,2015,1.27,large,140920.61
10,18-10-2015,conventional,2015,1.26,medium,156565.98
11,11-10-2015,conventional,2015,1.14,small,167396.56
12,04-10-2015,conventional,2015,1.22,medium,146737.74
13,27-09-2015,conventional,2015,1.09,large,168780.22
14,20-09-2015,conventional,2015,1.2,small,161443.98
15,13-09-2015,conventional,2015,1.19,medium,171077.53
16,06-09-2015,conventional,2015,1.01,small,227728.43
17,30-08-2015,conventional,2015,1.2,medium,179026.88
18,23-08-2015,conventional,2015,1.15,extra_large,203298.37
19,16-08-2015,conventional,2015,1.24,medium,178525.52
20,09-08-2015,conventional,2015,1.21,small,173059.32
21,02-08-2015,conventional,2015,1.24,medium,179321.9
22,26-07-2015,conventional,2015,1.23,large,173896.82
23,19-07-2015,conventional,2015,1.19,medium,187575.03
24,12-07-2015,conventional,2015,1.18,large,182856.82
25,05-07-2015,conventional,2015,1.18,extra_large,216118.9
26,28-06-2015,conventional,2015,1.17,small,193654.01
27,21-06-2015,conventional,2015,1.17,extra_large,201173.1
28,14-06-2015,conventional,2015,1.15,extra_large,207093.88
29,07-06-2015,conventional,2015,1.15,large,199980.3
30,31-05-2015,conventional,2015,1.19,extra_large,194630.86
31,24-05-2015,conventional,2015,1.2,extra_large,212527.72
32,17-05-2015,conventional,2015,1.21,large,190799.99
33,10-05-2015,conventional,2015,1.19,large,192767.09
34,03-05-2015,conventional,2015,1,medium,261492.2
35,26-04-2015,conventional,2015,1.2,small,182141.55
36,19-04-2015,conventional,2015,1.18,extra_large,180944.22
37,12-04-2015,conventional,2015,1.17,small,204005.24
38,05-04-2015,conventional,2015,1.19,extra_large,177919.28
39,29-03-2015,conventional,2015,1.23,extra_large,178788.49
40,22-03-2015,conventional,2015,1.19,medium,182876.15
41,15-03-2015,conventional,2015,1.19,small,183944.05
42,08-03-2015,conventional,2015,1.25,small,159386.69
43,01-03-2015,conventional,2015,1.18,large,176146.34
44,22-02-2015,conventional,2015,1.08,medium,201741.43
45,15-02-2015,conventional,2015,1.22,large,156798.51
46,08-02-2015,conventional,2015,1.17,extra_large,150139.38
47,01-02-2015,conventional,2015,0.98,large,254009.7
48,25-01-2015,conventional,2015,1.18,medium,167270.13
49,18-01-2015,conventional,2015,1.25,extra_large,152671.15
50,11-01-2015,conventional,2015,1.26,extra_large,159942.68
51,04-01-2015,conventional,2015,1.19,extra_large,166006.29
0,27-12-2015,conventional,2015,0.93,medium,661137.13
1,20-12-2015,conventional,2015,0.91,small,690669.34
2,13-12-2015,conventional,2015,1.07,extra_large,668601.5
3,06-12-2015,conventional,2015,1.14,medium,664020.49
4,29-11-2015,conventional,2015,1.11,small,602481.22
5,22-11-2015,conventional,2015,0.94,medium,751897.89
6,15-11-2015,conventional,2015,1.17,large,641881.96
7,08-11-2015,conventional,2015,1.01,large,711146.61
8,01-11-2015,conventional,2015,1,extra_large,807041.46
9,25-10-2015,conventional,2015,1.12,large,687650.27
10,18-10-2015,conventional,2015,1.15,medium,690302.58
11,11-10-2015,conventional,2015,1.08,small,708914.17
12,04-10-2015,conventional,2015,1.18,large,675172.63
13,27-09-2015,conventional,2015,1.15,medium,720501.55
14,20-09-2015,conventional,2015,1.19,small,729117.42
15,13-09-2015,conventional,2015,1.19,large,775671.49
16,06-09-2015,conventional,2015,1.11,large,808677.78
17,30-08-2015,conventional,2015,1.12,medium,773773.53
18,23-08-2015,conventional,2015,1.2,extra_large,751850.01
19,16-08-2015,conventional,2015,1.16,small,817690.89
20,09-08-2015,conventional,2015,1.25,large,731125.01
21,02-08-2015,conventional,2015,1.27,large,761027.42
22,26-07-2015,conventional,2015,1.12,extra_large,791332.34
23,19-07-2015,conventional,2015,1.24,large,797060.27
24,12-07-2015,conventional,2015,1.26,extra_large,772151.2
25,05-07-2015,conventional,2015,1.24,medium,937317.45
26,28-06-2015,conventional,2015,1.21,medium,786250.22
27,21-06-2015,conventional,2015,1.24,large,804902.52
28,14-06-2015,conventional,2015,1.21,extra_large,868197.41
29,07-06-2015,conventional,2015,1.24,large,824216.23
30,31-05-2015,conventional,2015,1.26,small,803571.87
31,24-05-2015,conventional,2015,1.23,extra_large,887105.04
32,17-05-2015,conventional,2015,1.23,medium,817870.17
33,10-05-2015,conventional,2015,1.23,medium,835938.63
34,03-05-2015,conventional,2015,1.04,medium,978376.13
35,26-04-2015,conventional,2015,1.24,large,779868.01
36,19-04-2015,conventional,2015,1.24,large,832529.06
37,12-04-2015,conventional,2015,1.24,large,710718.98
38,05-04-2015,conventional,2015,1.27,extra_large,751812.42
39,29-03-2015,conventional,2015,1.22,medium,757271.96
40,22-03-2015,conventional,2015,1.21,medium,799946.53
41,15-03-2015,conventional,2015,1.09,large,827010.39
42,08-03-2015,conventional,2015,1.18,large,772997.09
43,01-03-2015,conventional,2015,1.09,small,863391.73
44,22-02-2015,conventional,2015,1.18,extra_large,773078.09
45,15-02-2015,conventional,2015,1.17,medium,726401.24
46,08-02-2015,conventional,2015,1.13,large,729325.61
47,01-02-2015,conventional,2015,0.91,medium,1133491.66
48,25-01-2015,conventional,2015,1.22,medium,745439.17
49,18-01-2015,conventional,2015,1.14,extra_large,797741.43
50,11-01-2015,conventional,2015,1.15,large,802874.94
51,04-01-2015,conventional,2015,1.11,large,783068.03
0,27-12-2015,conventional,2015,0.87,medium,162993.77
1,20-12-2015,conventional,2015,0.85,large,175425.57
2,13-12-2015,conventional,2015,0.79,small,207386.27
3,06-12-2015,conventional,2015,0.83,large,207513.04
4,29-11-2015,conventional,2015,0.88,medium,141356.34
5,22-11-2015,conventional,2015,0.89,small,174892.99
6,15-11-2015,conventional,2015,0.88,large,193723.22
7,08-11-2015,conventional,2015,0.87,extra_large,239070.13
8,01-11-2015,conventional,2015,0.93,small,254760.33
9,25-10-2015,conventional,2015,1.01,medium,203681.71
10,18-10-2015,conventional,2015,0.98,small,186044.56
11,11-10-2015,conventional,2015,0.91,medium,213527.77
12,04-10-2015,conventional,2015,0.93,medium,235243.88
13,27-09-2015,conventional,2015,1.08,medium,202012.62
14,20-09-2015,conventional,2015,1.05,extra_large,210445.12
15,13-09-2015,conventional,2015,1.05,extra_large,216548.9
16,06-09-2015,conventional,2015,1.02,small,232157.91
17,30-08-2015,conventional,2015,1.01,extra_large,234132.09
18,23-08-2015,conventional,2015,1.05,extra_large,208608.84
19,16-08-2015,conventional,2015,1.01,medium,234349.47
20,09-08-2015,conventional,2015,1.08,extra_large,214374.41
21,02-08-2015,conventional,2015,1.09,small,206121.36
22,26-07-2015,conventional,2015,1.03,large,216611.18
23,19-07-2015,conventional,2015,1.06,extra_large,223479.02
24,12-07-2015,conventional,2015,1.03,small,218170.8
25,05-07-2015,conventional,2015,1.03,small,250626.33
26,28-06-2015,conventional,2015,1.01,large,225165.84
27,21-06-2015,conventional,2015,1.02,large,243012.2
